alpha,theta_ab,a,b,S,valid
15.0,69.0,4.521,11.777,53.2450900628578,True
15.0,70.0,4.344,11.936,51.85261384271193,True
15.0,71.0,4.162,12.087,50.3006949118949,True
15.0,72.0,3.995,12.296,49.12330601902166,True
15.0,73.0,3.83,12.528,47.9856795376739,True
15.0,74.0,3.655,12.747,46.58891217320823,True
15.0,75.0,3.47,12.951,44.9449984094249,False
15.0,76.0,3.277,13.143,43.0661404647128,False
15.0,77.0,3.075,13.321,40.96489212913582,False
15.0,78.0,2.866,13.485,38.65425016766499,False
15.0,79.0,2.651,13.637,36.147708109531365,False
15.0,80.0,2.429,13.775,33.45928228484117,False
