alpha,theta_ab,a,b,S,valid
45.0,21.0,10.714,4.113,44.066450857527784,False
45.0,22.0,10.622,4.291,45.583213607214496,False
45.0,23.0,10.523,4.467,47.00452697926706,False
45.0,24.0,10.418,4.639,48.326499577403084,False
45.0,25.0,10.308,4.807,49.54561627262791,True
45.0,26.0,10.191,4.971,50.65875176380055,True
45.0,27.0,10.069,5.131,51.66318237458979,True
45.0,28.0,9.942,5.286,52.556596033525146,True
45.0,29.0,9.809,5.437,53.33710039252825,True
45.0,30.0,9.671,5.584,54.0032290482048,True
45.0,31.0,9.529,5.725,54.553945839240626,True
45.0,32.0,9.381,5.862,54.98864720243458,True
45.0,33.0,9.229,5.993,55.307162579170104,True
45.0,34.0,9.072,6.119,55.509752873434074,True
45.0,35.0,8.911,6.239,55.597106971787504,True
45.0,36.0,8.746,6.354,55.57033634493508,True
45.0,37.0,8.577,6.463,55.43096775968469,True
45.0,38.0,8.404,6.566,55.1809341390879,True
45.0,39.0,8.228,6.663,54.82256361736559,True
45.0,40.0,8.049,6.754,54.35856684480685,True
45.0,41.0,7.866,6.838,53.792022606143306,True
45.0,42.0,7.681,6.916,53.12636182390037,True
45.0,43.0,7.494,6.988,52.36535002588004,True
45.0,44.0,7.304,7.053,51.513068363194314,True
45.0,45.0,7.138,7.138,50.95271341177811,True
45.0,46.0,7.053,7.304,51.51308016865118,True
45.0,47.0,6.988,7.494,52.36536100622139,True
45.0,48.0,6.916,7.681,53.12637195611034,True
45.0,49.0,6.838,7.866,53.79203187134736,True
45.0,50.0,6.754,8.049,54.358575228363804,True
45.0,51.0,6.663,8.228,54.822571108939194,True
45.0,52.0,6.566,8.404,55.18094073269732,True
45.0,53.0,6.463,8.577,55.43097345373353,True
45.0,54.0,6.354,8.746,55.5703411422196,True
45.0,55.0,6.239,8.911,55.59711087948299,True
45.0,56.0,6.119,9.072,55.50975590305996,True
45.0,57.0,5.993,9.229,55.30716474653401,True
45.0,58.0,5.862,9.381,54.9886485275554,True
45.0,59.0,5.725,9.529,54.55394634625109,True
45.0,60.0,5.584,9.671,54.00322876523397,True
45.0,61.0,5.437,9.809,53.33709935156473,True
45.0,62.0,5.286,9.942,52.55659427026113,True
45.0,63.0,5.131,10.069,51.66317992824751,True
45.0,64.0,4.971,10.191,50.65874867694123,True
45.0,65.0,4.807,10.308,49.545612590944444,True
45.0,66.0,4.639,10.418,48.32649534949761,False
45.0,67.0,4.467,10.523,47.00452225641439,False
45.0,68.0,4.291,10.622,45.583208443112284,False
45.0,69.0,4.113,10.714,44.0664453080352,False
45.0,70.0,3.931,10.801,42.45848525418983,False
45.0,71.0,3.746,10.881,40.76392479465176,False
45.0,72.0,3.559,10.954,38.98768610369117,False
45.0,73.0,3.369,11.021,37.1349970985948,False
45.0,74.0,3.178,11.081,35.21137014427462,False
